survey_food_code,Display Name,Portion Size,condiment_portion_code,Condiment Grains,Whole Grains,Vegetables,condiment_dkgreen,condiment_orange,condiment_starchy_vegetables,condiment_other_vegetables,Fruits,Milk,Meat,condiment_soy,condiment_drybeans_peas,Oils,Solid Fats,Added Sugars,condiment_alcohol,Calories,condiment_saturated_fats
75113000,Lettuce,1 leaf,61362,.00000,0,.07272,.00000,.00000,.00000,.07272,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,0.8,.00080
64401000,Vinegar,1 Tbsp,1025,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,2.016,.00000
75506010,Mustard,1 tsp,22000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,3.3,.00800
74101000,Tomato (raw),1 slice,61400,.00000,0,.11120,.00000,.00000,.00000,.11120,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,3.6,.00800
61204010,Lemon juice,1 Tbsp,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.06253,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,3.8125,.00000
74402100,Salsa,1 Tbsp,21000,.00000,0,.10608,.00000,.00000,.00000,.10608,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,4.48,.00480
75230010,Sauerkraut (no fat added),1/4 cup,10205,.00000,0,.24992,.00000,.00000,.00000,.24992,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,6.745,.01420
91101020,Powdered sugar (confectioner's sugar),1 tsp,22000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,9.48177,.00000,9.725,.00050
74406100,Steak sauce (A-1),1 Tbsp,21000,.00000,0,.04864,.00000,.00000,.00000,.04864,.00688,.00000,.00000,.00000,.00000,.00021,.00000,3.07136,.00000,9.76,.00640
11113000,Fat free milk (skim),2 Tablespoons,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.12495,.00000,.00000,.00000,.00000,.00000,.00000,.00000,10.4125,.03675
11112210,1% milk (low fat),2 Tablespoons,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.12505,.00000,.00000,.00000,.00000,2.43756,.00000,.00000,12.81,.19215
75503020,Pickle relish,2 tsp,61579,.00000,0,.04080,.00000,.00000,.00000,.04080,.00000,.00000,.00000,.00000,.00000,.00000,.00000,1.31657,.00000,13,.00600
83203250,Fat-free mayonnaise-type dressing,1 Tbsp,21000,.07520,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,3.88368,6.20253,.00000,13.44,.09600
91361010,Sweet and sour sauce,1 Tbsp,21000,.06570,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,10.09130,.00000,14.1,.00015
74303000,Ketchup (catsup),1 Tbsp,30000,.00000,0,.08490,.00000,.00000,.00000,.08490,.00000,.00000,.00000,.00000,.00000,.00000,.00000,9.49884,.00000,14.25,.01200
91101010,White sugar (granulated or lump),1 tsp,22000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,16.25400,.00000,16.254,.00000
81104010,Reduced calorie spread (margarine type),1 tsp,61631,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.43111,.00000,.00000,.00000,17.25,.38500
91102010,Brown sugar,1 tsp,22000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,17.14365,.00000,17.342,.00000
11111000,Whole milk,2 Tablespoons,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.12505,.00000,.00000,.00000,.00000,8.69616,.00000,.00000,18.3,.56730
12210250,Coffee Mate Lite creamer (liquid),2 Tbsp,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,9.45000,10.57648,.00000,20.7,.27000
74406010,Barbeque sauce,2 Tablespoons,10205,.08750,0,.00625,.00000,.00000,.00000,.00625,.00000,.00000,.00000,.00000,.00000,.00069,.00000,5.19112,.00000,23.4375,.08438
83200100,Low-calorie salad dressing,1 Tbsp,21000,.00000,0,.00875,.00000,.00000,.00000,.00875,.00000,.00065,.00081,.00000,.00000,.35240,.16767,4.98982,.00000,23.814,.12960
63101120,Applesauce (unsweetened),1/4 cup,10149,.00000,0,.00000,.00000,.00000,.00000,.00000,.25010,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,26.23,.00610
74406500,Cocktail sauce,2 Tablespoons,10205,.00000,0,.12500,.00000,.00000,.00000,.12500,.01297,.00000,.00000,.00000,.00000,.00000,.00000,15.65827,.00000,27.3,.02389
81302060,Horseradish sauce,1 Tbsp,21000,.00000,0,.00056,.00000,.00000,.00000,.00056,.00000,.00000,.00000,.00000,.00000,.00000,25.67880,.00000,.00000,29.26,1.77660
28500040,Beef gravy,1/4 cup,10205,.37164,0,.00117,.00000,.00000,.00000,.00117,.00000,.00058,.09436,.00641,.00000,.02019,8.61343,.00947,.00000,30.8725,.66988
81102020,Tub margraine,1 tsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.83723,.00000,.00000,.00000,33.55176,.60777
14303010,Low fat cream cheese,1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,23.76000,.00000,.00000,34.65,1.66350
81101000,Butter,1 tsp,61632,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,35.85000,.00000,.00000,35.85,2.56850
83204000,Low calorie mayonnaise,1 Tbsp,21000,.10015,0,.00000,.00000,.00000,.00000,.00000,.00078,.00000,.00203,.00000,.00000,.65277,.19796,3.42056,.00000,36.192,.51480
91406500,All-fruit preserves,1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.07530,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,36.6,.01200
12120100,Half & Half,2 Tbsp,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,31.25700,.00000,.00000,39.26,2.16232
82101000,Vegetable oil,1 tsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,1.00000,.00000,.00000,.00000,40,.57000
12210200,Coffee Mate creamer (liquid),2 Tbsp,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,26.91900,13.22425,.00000,40.8,.58200
11113000,Fat free milk (skim),1/2  cup,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.49980,.00000,.00000,.00000,.00000,.00000,.00000,.00000,41.65,.14700
83106000,Italian dressing (oil and vinegar),1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.92617,.00000,4.33665,.00000,42.777,.65709
28500000,Chicken gravy,1/4 cup,10205,.30048,0,.00179,.00000,.00000,.00000,.00179,.00000,.00416,.08032,.00476,.00000,.02367,27.35870,.08704,.00000,47.005,.83895
28500000,Turkey gravy,1/4 cup,10205,.30048,0,.00179,.00000,.00000,.00000,.00179,.00000,.00416,.08032,.00476,.00000,.02367,27.35870,.08704,.00000,47.005,.83895
11320000,"Soymilk, plain (calcium fortified)",1/2  cup,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.49980,.00000,.27386,.00000,.00000,.00000,49,.25725
14109030,Low fat cheddar or Swiss,1 slice (1 oz),61937,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.99990,.00000,.00000,.00000,.00000,11.21384,.00000,.00000,50,.92500
91401000,Jelly (all flavors),1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.02432,.00000,.00000,.00000,.00000,.00000,.00000,27.46698,.00000,50.54,.00190
14301010,Cream cheese (regular),1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,45.50535,.00000,.00000,50.605,3.18565
11112210,1% milk (low fat),1/2  cup,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.50020,.00000,.00000,.00000,.00000,9.75024,.00000,.00000,51.24,.76860
91300010,Syrup (regular),1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00444,.00000,49.47393,.00000,53,.00400
41205070,Hummus,2 Tbsp,21000,.00000,0,.00210,.00000,.00000,.00000,.00210,.01230,.00000,.09990,.00000,.14460,.39227,.00000,.00000,.00000,53.1,.33600
83110000,Miracle whip salad dressing,1 Tbsp,21000,.03793,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00956,.00000,.00000,1.05647,.62975,2.93650,.00000,57.33,.72030
12110100,Light cream (coffee or table cream),2 Tbsp,30000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,52.13700,.00000,.00000,58.5,3.60600
12310100,Sour cream,2 Tbsp,60597,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,54.23400,.00000,.00000,61.525,3.75188
91302010,Honey,1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,63.84000,.00000,63.84,.00000
27111410,Chili con carne (with beans),1/4 cup,10205,.00000,0,.17526,.00000,.00000,.00000,.17526,.00000,.00000,.43434,.00000,.07176,.00000,12.64729,1.06309,.00000,66.04,.99695
83104000,French dressing,1 Tbsp,21000,.00000,0,.00406,.00000,.00000,.00000,.00406,.00000,.00000,.00000,.00000,.00000,1.55220,.00000,8.38784,.00000,71.292,.88140
83112500,Creamy dressing (ranch),1 Tbsp,21000,.00000,0,.00191,.00000,.00000,.00000,.00191,.00000,.00000,.00000,.00000,.00000,1.64970,2.80079,2.30093,.00000,71.442,1.12455
11111000,Whole milk,1/2  cup,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.50020,.00000,.00000,.00000,.00000,34.78464,.00000,.00000,73.2,2.26920
81302050,Tartar sauce,1 Tbsp,21000,.01771,0,.00734,.00000,.00000,.00000,.00734,.00000,.00000,.01541,.00000,.00000,1.59626,.54043,1.45116,.00000,74.304,1.10880
83101000,Blue cheese dressing,1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.03106,.03519,.00000,.00000,1.56036,7.87506,1.28571,.00000,77.112,1.51470
14420100,Cheese spread or dip,2 Tablespoons,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.53802,.00000,.00000,.00000,.00000,57.39795,3.62887,.00000,88.45,4.06565
63409010,Guacamole,1/4 cup,10205,.00000,0,.00291,.00000,.00000,.00000,.00291,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,91.4525,1.20577
83107000,Mayonnaise (regular),1 Tbsp,21000,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.02346,.00000,.00000,2.37130,.53033,.00673,.00000,98.946,1.63944
56205010,"White rice, no fat added",1/2  cup,10043,1.00014,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,101.91,.05530
12140000,Whipped cream (sweetened),1/4 cup,10205,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,93.20378,6.69242,.00000,103.53,6.44385
56205110,"Brown rice, no fat added",1/2  cup,10043,1.00035,1.00035,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,107.25,.16575
14104010,"Cheese (cheddar, Swiss)",1 slice (1 oz),61937,.00000,0,.00000,.00000,.00000,.00000,.00000,.00000,.66679,.00000,.00000,.00000,.00000,83.35751,.00000,.00000,114.2505,5.97902
58150110,Fried rice (plain),1/2  cup,10205,.68309,0,.16517,.00000,.00000,.04233,.12284,.00000,.00000,.17098,.00000,.00000,.77670,3.60801,.00000,.00000,125.33,.75530
